Variable,,,
RYIELD,0,,L Yr Avg
RYIELD_1T,0,,1 Yr Ago
RYIELD_A3Y,NA,,3 Yr Avg
RYIELD_A5Y,NA,,5 Yr Avg
RYIELD_A7Y,NA,,7 Yr Avg
RPE_TO_G5F,4,,5 Yr Avg
RPE_TO_G5E,32,,5 Yr Avg
RPE_TO_DG5,4,,5 Yr Avg
RSALES_G1F,78,,1 Yr Avg
RSALES_G3F,84,,3 Yr Avg
RSALES_G5F,89,,5 Yr Avg
RSALES_G7F,90,,7 Yr Avg
RSALES_G1T,84,,1 Yr Avg
RGOPINC_G1,81,,1 Yr Ago
RGOPINC_G3,90,,3 Yr Ago
RGOPINC_G5,93,,5 Yr Ago
RGOPINC_G7,92,,7 Yr Ago
RNETINC_G1,66,,1 Yr Ago
RNETINC_G3,94,,3 Yr Ago
RNETINC_G5,99,,5 Yr Ago
RNETINC_G7,100,,7 Yr Ago
REPS_G1F,62,,1 Yr Avg
REPS_G3F,92,,3 Yr Avg
REPS_G5F,99,,5 Yr Avg
REPS_G7F,100,,7 Yr Avg
REPS_G1T,66,,1 Yr Avg
REPSC_G1F,63,,1 Yr Avg
REPSC_G3F,92,,3 Yr Avg
REPSC_G5F,99,,5 Yr Avg
REPSC_G7F,100,,7 Yr Avg
REPSC_G1T,65,,1 Yr Avg
RCFPS_G1F,3,,1 Yr Avg
RCFPS_G3F,9,,3 Yr Avg
RCFPS_G5F,3,,5 Yr Avg
RCFPS_G7F,0,,7 Yr Avg
RCFPS_G1T,86,,1 Yr Avg
RFCFPS_G1F,44,,1 Yr Avg
RFCFPS_G3F,92,,3 Yr Avg
RFCFPS_G5F,94,,5 Yr Avg
RFCFPS_G7F,100,,7 Yr Avg
RFCFPS_G1T,52,,1 Yr Avg
RDPS_G1F,12,,1 Yr Avg
RDPS_G3F,12,,3 Yr Avg
RDPS_G5F,10,,5 Yr Avg
RDPS_G7F,8,,7 Yr Avg
RDPS_G1T,17,,1 Yr Avg
RSALES_12M,99,,12 Yr Ago
RSALES_Y1,99,,1 Yr Ago
RSALES_Y2,99,,2 Yr Ago
RSALES_Y3,98,,3 Yr Ago
RSALES_Y4,98,,4 Yr Ago
RSALES_Y5,97,,5 Yr Ago
RSALES_Y6,96,,6 Yr Ago
RSALES_Y7,96,,7 Yr Ago
RGPM_12M,56,,12 Yr Ago
RGPM_Y1,56,,1 Yr Ago
RGPM_Y2,48,,2 Yr Ago
RGPM_Y3,43,,3 Yr Ago
